time,open_return,high_return,low_return,close_return,volume
2019-09-18,-0.012036108324975037,0.01598401598401611,0.0,0.01624365482233503,713690
2019-09-19,0.024365482233502656,-0.007866273352999054,0.012182741116751439,0.0,707480
2019-09-20,-0.003964321110009772,-0.003964321110009772,-0.008024072216649913,-0.011988011988011915,1311040
2019-09-23,-0.015920398009950265,0.0,0.0,0.0,650780
2019-09-24,0.0,-0.01194029850746281,-0.004044489383215444,-0.004044489383215444,485060
2019-09-25,-0.004044489383215444,-0.004028197381671594,-0.015228426395939132,-0.011167512690355319,979390
2019-09-26,-0.003045685279187804,-0.007077856420626971,-0.008247422680412342,-0.004106776180698213,1515400
2019-09-27,0.003054989816700493,0.031568228105906426,0.012474012474012586,0.03195876288659805,3040780
2019-09-30,0.020304568527918843,0.019743336623889274,0.02772073921971252,0.01598401598401611,2611700
2019-10-01,0.011940298507462588,-0.007744433688286589,0.007992007992007943,-0.003933136676499416,1071420
2019-10-02,-0.003933136676499416,-0.011707317073170631,-0.007928642220019877,-0.003948667324777944,949780
2019-10-03,-0.01184600197433372,-0.007897334649555776,-0.015984015984015998,-0.015857284440039643,1066530
2019-10-04,-0.003996003996003861,0.01990049751243772,0.012182741116751439,0.020140986908358638,2776940
2019-10-07,0.016048144433299827,0.007804878048780495,0.016048144433299827,0.011846001974333609,2550910
2019-10-08,0.019743336623889274,0.007744433688286589,0.0,-0.0039024390243901363,1731410
2019-10-09,-0.011616650532429773,-0.015369836695485084,0.0,-0.007835455435847183,1281030
2019-10-10,-0.003917727717923647,0.0,-0.003948667324777944,0.0039486673247777215,2137300
2019-10-11,0.003933136676499638,-0.0039024390243901363,-0.007928642220019877,-0.01179941002949847,1290330
2019-10-14,-0.01175318315377094,-0.003917727717923647,0.0,0.007960199004975133,1608460
2019-10-15,0.0,-0.003933136676499416,0.003996003996004083,-0.003948667324777944,1110460
2019-10-16,0.003964321110009994,0.03158933859822288,0.003980099502487455,0.027750247770069292,4518750
2019-10-17,0.03158933859822288,0.003827751196172402,0.02378592666005952,0.0038572806171650598,1820970
2019-10-18,0.0,0.014299332697807365,0.011616650532429773,0.007684918347742542,4298110
2019-10-21,0.003827751196172402,-0.014097744360902276,-0.011483253588516651,-0.011439466158246092,1395670
2019-10-22,-0.011439466158246092,-0.011439466158246092,-0.011616650532429773,-0.0077145612343297865,2448870
2019-10-23,-0.0077145612343297865,0.0038572806171650598,-0.003917727717923647,-0.0038872691933915515,2690170
2019-10-24,0.0038872691933917736,0.0,0.01179941002949847,0.007804878048780495,1342400
2019-10-25,0.007744433688286589,0.007684918347742542,0.0038872691933917736,0.007744433688286589,1917280
2019-10-28,0.003842459173871271,0.0,0.0,-0.007684918347742542,1910680
2019-10-29,-0.015311004784689053,-0.007626310772164024,-0.015488867376573068,-0.015488867376573068,2227560
2019-10-30,-0.011661807580174877,-0.011527377521613924,-0.003933136676499416,0.003933136676499638,1328290
2019-10-31,0.015732546705998107,0.023323615160349975,0.011846001974333609,0.007835455435847072,2865390
2019-11-01,0.0038722168441431837,0.014245014245014342,0.0,0.03790087463556868,3475030
2019-11-04,0.03375120540019294,0.029962546816479474,0.034146341463414664,0.014981273408239737,5394180
2019-11-05,0.014925373134328401,-0.0072727272727273196,0.018867924528301883,-0.0036900369003689537,2233670
2019-11-06,-0.007352941176470562,0.0,-0.007407407407407418,-0.007407407407407418,3032590
2019-11-07,0.0037037037037035425,-0.0073260073260073,-0.003731343283582156,0.0,1584190
2019-11-08,-0.0036900369003689537,-0.0036900369003689537,-0.0037453183520598232,-0.007462686567164201,1541280
2019-11-11,-0.011111111111111183,-0.011111111111111183,-0.010338345864661758,-0.007518796992481258,2413190
2019-11-12,-0.011235955056179692,-0.0074906367041198685,-0.003798670465337106,0.0,1766020
2019-11-13,0.0,0.01132075471698113,0.006673021925643452,0.0,1900110
2019-11-14,0.0,-0.007462686567164201,-0.0028409090909091717,0.0,1245380
2019-11-15,0.0037878787878786735,0.0,0.0,0.0037878787878786735,1774620
2019-11-18,0.01132075471698113,0.015037593984962516,0.010446343779677125,0.015094339622641506,2409180
2019-11-19,0.00746268656716409,0.007407407407407307,0.011278195488721776,0.0074349442379182396,1239810
2019-11-20,0.007407407407407307,0.003676470588235281,0.0,-0.0036900369003689537,1408400
2019-11-21,-0.007352941176470562,-0.01098901098901095,-0.011152416356877248,0.0,1206600
2019-11-22,-0.0037037037037037646,0.0,-0.014097744360902276,-0.028703703703703787,1981770
2019-11-25,-0.021375464684014855,-0.022222222222222254,-0.011439466158246092,0.0,1251490
2019-11-26,-0.003798670465337106,0.0037878787878786735,0.0077145612343298975,0.006673021925643452,1976450
2019-11-27,0.0038131553860818457,0.0,-0.00382775119617218,-0.01041666666666674,1190110
2019-11-28,-0.007597340930674323,-0.014150943396226467,-0.026897214217098897,-0.026794258373205704,2086560
2019-11-29,-0.026794258373205704,-0.022966507177033302,-0.01184600197433372,-0.007866273352999054,1573450
