time,open,close,low,high,volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26,MACD_signal_9,MACD_histogram,BB_upper_20,BB_middle_20,BB_lower_20,close_lag_1,close_lag_3,close_lag_7,volatility_10,target_classification,target_regression
2020-03-19 07:00:00,29.08,28.52,28.52,29.69,1191150,31.660000000000004,34.036,36.882600000000004,31.71229478222382,33.93180853074044,22.45532245532246,-2.2195137485166185,-1.6416513758608442,-0.5778623726557743,40.37481742250009,34.036,27.69718257749992,29.95,29.0,34.53,2.734536320638118,0,26.58
2020-03-20 07:00:00,28.52,26.58,26.58,28.65,2763360,30.666000000000004,33.442,36.6372,30.92255342594083,33.376262600924015,19.862542955326475,-2.453709174983185,-1.8040647901186786,-0.6496443848645066,40.244806232105994,33.442,26.639193767894007,28.52,29.17,33.28,2.57348963255908,0,24.72
2020-03-23 07:00:00,24.89,24.72,24.72,25.28,1875070,29.740999999999996,32.794,36.3754,29.968153337245937,32.72311881084559,16.74876847290642,-2.754965473599654,-1.9942466640093741,-0.7607188095902799,40.326887612959254,32.794,25.26111238704074,26.58,29.95,30.98,2.896125572784014,1,25.06
2020-03-24 07:00:00,24.72,25.06,24.46,25.24,1498070,28.794,32.1845,36.1178,29.212944958601717,32.1457074161827,18.69273060476482,-2.932762457580985,-2.1819511943760883,-0.7508112632048967,40.15899744333056,32.1845,24.210002556669437,24.72,28.52,30.68,2.6976747188808923,1,26.79
2020-03-25 07:00:00,25.93,26.79,25.8,26.79,1835730,28.145,31.6875,35.9016,28.84013914036005,31.742672083581,23.942857142857164,-2.9025329432209475,-2.3260683866551104,-0.5764645565658371,39.70804959397891,31.6875,23.666950406021087,25.06,26.58,29.0,2.2404575425569266,1,27.31
2020-03-26 07:00:00,26.79,27.31,26.58,27.96,1484590,27.778,31.238,35.6812,28.604709043267682,31.409491259729403,23.549684089603673,-2.804782216461721,-2.421811600388796,-0.38297061607292493,39.17737714645714,31.238,23.29862285354286,26.79,24.72,29.17,2.0135640044459047,1,27.7
2020-03-27 07:00:00,27.35,27.7,27.01,28.48,1569620,27.479999999999997,30.842499999999994,35.4616,28.465510991916446,31.130971946492448,29.44262295081967,-2.6654609545760017,-2.4705416535470115,-0.19491930102899024,38.651870552167075,30.842499999999994,23.033129447832913,27.31,25.06,29.95,1.7380193068868208,0,26.36
2020-03-30 07:00:00,25.97,26.36,25.84,26.53,1637330,27.215999999999998,30.393,35.2162,28.14156250539064,30.773114609875957,24.516531503431068,-2.6315521044853156,-2.5027438401208197,-0.12880826436449588,38.144658837748466,30.393,22.641341162251532,27.7,26.79,28.52,1.6810525803133043,1,26.79
2020-03-31 07:00:00,26.58,26.79,25.93,27.7,957500,26.977999999999998,29.9565,34.9794,27.933616929432084,30.47463078947874,28.665351742274822,-2.5410138600466574,-2.5103978624337295,-0.03061599761292788,37.47215180841057,29.9565,22.440848191589428,26.36,27.31,26.58,1.5358804930362047,1,28.09
2020-04-01 07:00:00,26.58,28.09,26.58,28.48,1229320,26.792,29.595499999999998,34.7694,27.9576771246406,30.296087138989396,39.8311048557354,-2.3384100143487956,-2.476000226923964,0.13759021257516846,36.7114020584368,29.595499999999998,22.479597941563192,26.79,27.7,24.72,1.215097618392232,1,28.31
