time,open,high,low,close,volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_histogram,BB_upper,BB_middle,BB_lower,daily_return,close_lag_1,return_lag_1,close_lag_3,return_lag_3,close_lag_7,return_lag_7,volatility_10,volume_sma_10,volume_ratio,vnindex_return,usdvnd_return,target_cls,target_reg
2020-01-02,38.95,39.47,38.73,39.21,386290,38.579,37.695,37.686,38.408703569095636,37.86915971642484,63.83647798742138,0.5395438526707963,0.34207233557044114,0.19747151710035515,39.78216882024683,37.695,35.60783117975317,0.006675224646983224,38.95,-0.008653601425298918,38.73,0.012284370099320485,38.9,0.02937284996030698,0.5526994361012977,526023.0,0.7343595242033143,0.0059105713899207935,0.0,0,38.82
2020-01-03,39.51,39.64,38.82,38.82,536130,38.695,37.8215,37.718599999999995,38.471979943080925,37.939592330023004,57.7708006279435,0.5323876130579208,0.3801353910679371,0.15225222198998373,39.85613975862275,37.8215,35.78686024137725,-0.009946442234123998,39.21,0.006675224646983224,39.29,0.014459075651949371,38.52,-0.009768637532133528,0.4507093175084286,478140.0,1.1212824695695822,-0.0015827531629201141,0.0,0,37.78
2020-01-06,38.52,38.65,37.78,37.78,880110,38.694,37.8935,37.721,38.365521490299244,37.92777067594723,57.58998435054772,0.4377508143520146,0.3916584757247526,0.046092338627261975,39.805625023439426,37.8935,35.98137497656058,-0.02679031427099432,38.82,-0.009946442234123998,38.95,-0.008653601425298918,38.48,-0.0010384215991694479,0.4529459128858814,527215.0,1.6693569037299774,-0.009687713699566891,0.0,1,37.91
2020-01-07,37.57,37.95,36.87,37.91,1013270,38.595,37.966,37.731,38.29544126102244,37.92645432958077,61.254019292604504,0.3689869314416683,0.3871241668681358,-0.018137235426467502,39.755282714268205,37.966,36.1767172857318,0.0034409740603493777,37.78,-0.02679031427099432,39.21,0.006675224646983224,38.26,-0.005717255717255676,0.5077893263943485,534817.0,1.894610679914812,0.00323292773517192,0.0,0,37.57
2020-01-08,37.52,37.95,37.22,37.57,722280,38.5,38.016999999999996,37.742799999999995,38.18383491317283,37.90005030516738,53.85906040268458,0.2837846080054476,0.36645625509559815,-0.08267164709015057,39.690761600329296,38.016999999999996,36.343238399670696,-0.008968609865470767,37.91,0.0034409740603493777,38.82,-0.009946442234123998,38.73,0.012284370099320485,0.6032688731679771,556285.0,1.2983992018479735,-0.010324545302853316,0.0,1,38.3
2020-01-09,37.87,38.39,37.87,38.3,722670,38.482,38.094,37.7572,38.20170646499239,37.92967620848832,55.21172638436483,0.272030256504074,0.3475710553772934,-0.0755407988732194,39.662672251166256,38.094,36.525327748833746,0.019430396593026256,37.57,-0.008968609865470767,37.78,-0.02679031427099432,39.29,0.014459075651949371,0.6066080557768427,605464.0,1.19358046060542,0.011770532571813819,0.0,1,38.65
2020-01-10,38.3,39.03,37.95,38.65,1526920,38.521,38.153999999999996,37.7796,38.270674701147406,37.98303352637807,56.76100628930819,0.28764117476933393,0.33558507925570147,-0.04794390448636754,39.710709079402704,38.153999999999996,36.59729092059729,0.009138381201044377,38.3,0.019430396593026256,37.91,0.0034409740603493777,38.95,-0.008653601425298918,0.6032771612893698,717745.0,2.1273850740862006,0.00873821798677299,0.0,0,38.6
2020-01-13,38.43,38.77,38.43,38.6,1044640,38.508,38.1925,37.791399999999996,38.321340131740115,38.028734746646364,47.16981132075474,0.29260538509375067,0.32698914042331134,-0.03438375532956067,39.75355059090617,38.1925,36.63144940909383,-0.001293661060801976,38.65,0.009138381201044377,37.57,-0.008968609865470767,39.21,0.006675224646983224,0.5996628682481373,772322.0,1.352596455882391,-0.0027877010758460274,-0.017664692665400716,0,38.6
2020-01-14,38.65,38.86,38.47,38.6,1001130,38.439,38.282,37.7758,38.364210880703176,38.07105069133923,50.813008130081286,0.2931601893639453,0.3202233502114381,-0.02706316084749283,39.708790288134836,38.282,36.85520971186516,0.0,38.6,-0.001293661060801976,38.3,0.019430396593026256,38.82,-0.009946442234123998,0.5360026948522908,806421.0,1.2414483253784314,0.0012010270852313987,0.017982345267962385,0,38.56
2020-01-15,38.69,38.69,38.34,38.56,1471860,38.4,38.384499999999996,37.769800000000004,38.39433228367192,38.10726915864744,50.813008130081364,0.2870631250244813,0.31359130517404676,-0.026528180149565483,39.54498039054618,38.384499999999996,37.22401960945381,-0.0010362694300517505,38.6,0.0,38.65,0.009138381201044377,37.78,-0.02679031427099432,0.5081557066709498,930530.0,1.5817437374399537,0.0005791106514994038,0.0,1,38.65
