time,open_return,high_return,low_return,close_return,volume
2019-09-18,0.004921829762594143,0.014655172413793327,0.0,-0.006050129645635338,809820
2019-09-19,-0.0011524056467876465,-0.009629000283206013,0.0,0.011014492753623317,527230
2019-09-20,0.006057109893279566,0.013440091507005869,0.0063860667634252355,-0.006020642201834847,2794080
2019-09-23,0.0011467889908256534,-0.01100451467268626,-0.02480530718200169,-0.02480530718200169,1187100
2019-09-24,-0.025486827033218806,-0.013409415121255264,-0.001183081928423535,0.020408163265306145,791470
2019-09-25,0.0061710255656772794,0.0011567379988433046,0.006218537163162452,0.001159420289855051,729340
2019-09-26,0.008761682242990565,0.005199306759098743,0.011477339611536186,0.0037637521713955735,1040190
2019-09-27,0.007527504342790925,0.022126436781609193,0.006109979633401208,0.023363138159792296,1388490
2019-09-30,0.019540229885057547,0.0022490863086870316,0.013591671486408385,-0.009582863585118284,775770
2019-10-01,-0.009582863585118284,0.0036465638148668322,-0.001141226818830221,0.015651678998292562,795100
2019-10-02,0.015651678998292562,0.0011179429849077493,-0.0011425307055127343,-0.016531241244045813,1224650
2019-10-03,-0.01905295601008683,-0.02010050251256279,-0.01344009150700598,0.0,1003810
2019-10-04,0.0025706940874037354,0.018233618233618243,0.014782608695652177,0.011965811965811923,1121700
2019-10-07,0.024216524216524205,0.01203133743704532,0.0122822050842617,-0.0022522522522524513,1134390
2019-10-08,-0.014186369958275491,0.009400055294442877,0.0,0.02765237020316036,1461940
2019-10-09,0.02765237020316036,0.004656258559298854,0.020598194130925673,-0.006864360241625511,860160
2019-10-10,-0.002196595277320079,-0.005997818974918134,0.0,0.0011058888581696458,753670
2019-10-11,-0.004678040726472266,0.0024684585847503104,-0.0013823610727122793,0.008285004142501995,730370
2019-10-14,0.01161183301078239,0.00711354309165535,0.007198228128460826,-0.003560668310051862,620800
2019-10-15,-0.005739273025416769,-0.007063298016843356,-0.00357339197361195,0.0021990104452995762,648400
2019-10-16,0.014018691588784993,0.010670314637482914,0.011862068965517336,0.010696653867251715,668740
2019-10-17,0.0024396855516399807,0.0010828370330264736,-0.010632497273718622,-0.010583446404341945,1023870
2019-10-18,-0.010546241211465524,-0.007030827474310386,0.0,-0.0021941854086670043,417240
2019-10-21,-0.006832467887400884,-0.010348583877995532,-0.014053458252962225,-0.009345794392523477,561470
2019-10-22,-0.008255365987892227,0.010456796917996503,0.007266629401900371,0.014150943396226356,473090
2019-10-23,0.015260821309656114,0.0,0.004716981132075526,-0.0010943912448699855,538120
2019-10-24,-0.0021863897239684515,0.014161220043573008,0.0057995028997515075,0.018625034237195193,660180
2019-10-25,0.018625034237195193,0.017185821697099923,0.0175727622185613,0.012637805861790863,838210
2019-10-28,0.012637805861790863,-0.0034318901795142853,0.009444144630329054,-0.006638343069569785,383850
2019-10-29,-0.006638343069569785,-0.007947019867549643,-0.01256348569901089,-0.011494252873563204,702620
2019-10-30,-0.014969259556268266,0.008010680907877044,-0.002436383324309621,0.016224986479177916,607710
2019-10-31,0.023337856173677007,0.0034437086092715674,0.017367706919945824,-0.0013304949441191871,319340
2019-11-01,-0.004773269689737458,0.010031678986272219,-0.0010669511869831894,0.012789768185451633,1071470
2019-11-04,0.018385291766586764,0.034762153685311104,0.020560747663551204,0.03604314654038432,1091260
2019-11-05,0.031397174254317095,0.0,0.01569858712715866,-0.013204672422549635,616630
2019-11-06,-0.014205986808726645,-0.0022733013387219447,0.0,0.0023160061760165718,673230
2019-11-07,0.0023160061760165718,-0.00430379746835452,0.003348789283874387,0.003337612323491612,360850
2019-11-08,0.003337612323491612,0.0,-0.0023106546854942955,0.0020470829068577334,416510
2019-11-11,0.0053735926305016335,-0.0010170353419781675,0.0023160061760165718,-0.002042900919305368,423790
2019-11-12,-0.00432680071264957,0.003308729956732037,0.003337612323491612,0.004350051177072656,595820
2019-11-13,0.008691206543967267,0.0010147133434803557,-0.014329580348004023,-0.013248407643312143,706550
2019-11-14,-0.018499746578814036,-0.0086163203243792,0.0020768431983384517,0.004389362251484785,375320
2019-11-15,-0.00542215336948082,-0.0043456032719835225,-0.00880829015544049,-0.013110539845758273,565270
2019-11-18,-0.005451713395638658,-0.012066752246470025,-0.021170935703084037,-0.023443605105496146,700550
2019-11-19,-0.016966849386583327,0.012214137214137333,0.005607476635513864,0.038943718324886634,526560
2019-11-20,0.03425385023898042,0.0,0.01725969198088162,-0.016431322207958954,516280
2019-11-21,-0.021052631578947323,-0.014377406931964098,-0.022448446880710016,-0.022448446880710016,1000670
2019-11-22,-0.016784683975872072,-0.013284709559781116,-0.026435246995994754,-0.022963951935914495,1346230
2019-11-25,-0.02400640170712187,-0.028247096092925084,-0.030444322545255087,-0.011478546050833649,1445550
2019-11-26,-0.011478546050833649,-0.0024449877750611915,0.023196605374823154,0.0022117777163395136,727130
2019-11-27,0.01161183301078239,0.014161220043573008,0.009400055294442877,0.01903448275862063,484360
2019-11-28,0.006012571740912742,-0.008055853920515665,-0.004656258559298632,-0.011640498105035202,494650
2019-11-29,-0.004618310241782164,-0.005955603681645827,0.0011007154650521933,0.0,318000
2019-12-02,-0.0035480349344978457,-0.0010893246187363426,-0.023639362286970833,-0.021090112298000396,438800
2019-12-03,-0.027115858668857684,-0.01881134133042528,-0.011824324324324342,-0.0179071068830442,635370
2019-12-04,-0.013231981981982166,0.008335648791330863,-0.0062678062678062085,0.03276353276353272,376730
2019-12-05,0.03794579172610568,0.010746762193441839,0.03813073394495414,0.0011034482758620623,378490
2019-12-06,-0.002473886750962162,-0.005997818974918134,-0.0024855012427507095,0.0013777900248004293,256400
2019-12-09,0.0013777900248004293,0.0060340098738342896,0.0,0.003302146395156802,400740
2019-12-10,0.004678040726472155,0.0021810250817884125,0.007198228128460826,0.0024684585847503104,512290
2019-12-11,0.008216926869351049,0.0013601741022852831,0.0021990104452995762,0.005745554035567757,415080
2019-12-12,0.0010866612333604309,0.023091551208910488,0.009599561162918269,0.01877040261153451,464750
2019-12-13,0.023337856173677007,0.005841741901221553,0.017386579733768004,0.010146862483310981,746800
2019-12-16,0.0031821797931581575,-0.0013199577613517421,-0.02857142857142858,-0.026962727993655733,665550
2019-12-17,-0.022468939994713222,-0.01559608776103616,0.003573391973611839,-0.008149959250203898,266250
2019-12-18,-0.011627906976744207,-0.003490870032223481,0.0,0.016433853738701876,845740
2019-12-19,0.015321477428180685,0.017246025330099668,0.008216926869351049,0.01482080301805433,1014960
2019-12-20,0.01482080301805433,0.0034437086092715674,0.020918228742189404,0.0034519383961764127,389360
2019-12-23,0.010355815188529016,0.028247096092925084,0.012506652474720603,0.02937284996030698,937250
2019-12-24,0.021287779237844973,-0.0023106546854942955,0.0,-0.009768637532133528,507600
2019-12-25,-0.008749356664951025,0.0010293360782294148,0.001051248357424539,-0.0010384215991694479,230880
