time,open,high,low,close,volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_histogram,BB_upper,BB_middle,BB_lower,daily_return,close_lag_1,return_lag_1,close_lag_3,return_lag_3,close_lag_7,return_lag_7,volatility_10,volume_sma_10,volume_ratio,vnindex_return,usdvnd_return,target_cls,target_reg
2020-01-02,51.07,51.11,50.67,51.11,440280,51.284000000000006,51.394000000000005,52.0254,51.27708800644397,51.4838296005321,0.0,-0.20674159408812898,-0.21270959449573457,0.005968000407605589,51.699348808310766,51.394000000000005,51.088651191689245,0.0,51.11,0.0,51.2,-0.0017547280171572588,51.42,-0.0009714396735962527,0.14523544103773695,583370.0,0.7547182748512951,0.0059105713899207935,0.0,1,51.25
2020-01-03,51.11,51.25,50.8,51.25,248940,51.262,51.383,52.00860000000001,51.272920620837205,51.46650888938157,23.728813559321992,-0.19358826854436728,-0.2088853293054611,0.015297060761093828,51.69264155847819,51.383,51.07335844152181,0.002739189982390977,51.11,0.0,51.11,-0.0017578125000000666,51.33,-0.0017502917152859565,0.12976902558043021,510828.0,0.487326458220771,-0.0015827531629201141,0.0,0,50.89
2020-01-06,51.11,51.11,50.85,50.89,301910,51.20399999999999,51.352,51.9846,51.21400975609302,51.42380452720516,16.27906976744194,-0.2097947711121364,-0.2090672176667962,-0.0007275534453402011,51.72563646841051,51.352,50.97836353158949,-0.007024390243902445,51.25,0.002739189982390977,51.11,0.0,51.33,0.0,0.15385418782473936,457099.0,0.6604914909024084,-0.009687713699566891,0.0,1,50.98
2020-01-07,50.89,51.11,50.8,50.98,183910,51.16,51.3255,51.958,51.17800825515563,51.39093011778255,24.210526315789252,-0.2129218626269207,-0.2098381466588211,-0.0030837159680995874,51.72615604096014,51.3255,50.924843959039855,0.0017685203379838033,50.89,-0.007024390243902445,51.11,0.0,51.29,-0.0007792713812585506,0.14802402207484405,416352.0,0.44171758512028286,0.00323292773517192,0.0,0,50.8
2020-01-08,50.89,50.98,50.49,50.8,468910,51.107,51.29,51.9268,51.119853138977845,51.34715751646533,20.353982300884752,-0.227304377487485,-0.2133313928245539,-0.013972984662931093,51.74408091094449,51.29,50.83591908905551,-0.0035307963907414974,50.98,0.0017685203379838033,51.25,0.002739189982390977,51.2,-0.0017547280171572588,0.17314412750364036,418247.0,1.1211317714173683,-0.010324545302853316,0.0,1,50.98
2020-01-09,50.8,51.16,50.76,50.98,273870,51.072,51.2635,51.88320000000001,51.09833727144279,51.31996066339382,31.297709923663987,-0.22162339195103442,-0.21498979264985002,-0.006633599301184401,51.72531677843283,51.2635,50.801683221567174,0.0035433070866142113,50.8,-0.0035307963907414974,50.89,-0.007024390243902445,51.11,-0.0017578125000000666,0.15774804101653989,410799.0,0.6666764037887142,0.011770532571813819,0.0,1,51.02
2020-01-10,51.11,51.11,50.98,51.02,159120,51.045,51.2365,51.8458,51.08628538352851,51.29774135499427,33.33333333333351,-0.21145597146576023,-0.2142830284130321,0.0028270569472718665,51.68836281103889,51.2365,50.784637188961106,0.0007846214201649993,50.98,0.0035433070866142113,50.98,0.0017685203379838033,51.11,0.0,0.13818264885490797,375972.0,0.4232230059685296,0.00873821798677299,0.0,1,51.07
2020-01-13,50.98,51.16,50.89,51.07,146680,51.032,51.212,51.7782,51.08377993990874,51.280871624994695,37.03703703703699,-0.1970916850859581,-0.2108447597476173,0.013753074661659204,51.642647004059285,51.212,50.78135299594072,0.00098000784006258,51.02,0.0007846214201649993,50.8,-0.0035307963907414974,51.11,0.0,0.1276975593611029,334233.0,0.43885552892742485,-0.0027877010758460274,-0.017664692665400716,1,51.11
2020-01-14,51.16,51.16,50.8,51.11,101150,51.032,51.194,51.718599999999995,51.0878137953074,51.268214467587676,41.53846153846156,-0.18040067228027823,-0.2047559422541495,0.024355269973871274,51.60905357929331,51.194,50.778946420706696,0.0007832386919912615,51.07,0.00098000784006258,50.98,0.0035433070866142113,51.25,0.002739189982390977,0.1276975593611029,293940.0,0.3441178471796965,0.0012010270852313987,0.017982345267962385,0,51.11
2020-01-15,51.11,51.11,50.8,51.11,205600,51.032,51.176,51.6608,51.0912270575678,51.256494877395994,41.53846153846156,-0.16526781982819472,-0.19685831776895854,0.03159049794076382,51.57141583707598,51.176,50.78058416292402,0.0,51.11,0.0007832386919912615,51.02,0.0007846214201649993,50.89,-0.007024390243902445,0.1276975593611029,253037.0,0.8125293929346301,0.0005791106514994038,0.0,0,51.11
2020-01-16,51.11,51.16,50.8,51.11,186740,51.032000000000004,51.158,51.599399999999996,51.09411520255737,51.24564340499629,42.857142857142854,-0.15152820243891796,-0.18779229470295042,0.03626409226403246,51.529092271118905,51.158,50.7869077288811,0.0,51.11,0.0,51.07,0.00098000784006258,50.98,0.0017685203379838033,0.1276975593611029,227683.0,0.8201754193330201,0.006976311546570857,0.0,0,51.07
2020-01-17,51.07,51.16,50.85,51.07,169100,51.014,51.138,51.547,51.09040517139469,51.23263278240397,44.62809917355362,-0.14222761100927528,-0.1786793579642154,0.036451746954940134,51.48028950504381,51.138,50.79571049495619,-0.0007826257092545807,51.11,0.0,51.11,0.0007832386919912615,50.8,-0.0035307963907414974,0.10405126941457557,219699.0,0.7696894387320834,0.004772608307417547,0.0,0,51.07
2020-01-20,51.07,51.07,50.8,51.07,370670,51.032,51.118,51.4972,51.087265914257046,51.2205859096333,48.214285714285744,-0.1333199953762545,-0.16960748544662324,0.036287490070368744,51.42336259723393,51.118,50.81263740276607,0.0,51.07,-0.0007826257092545807,51.11,0.0,50.98,0.0035433070866142113,0.09542885657275012,226575.0,1.6359704292176984,-0.0003370924246138829,0.0,0,51.07
2020-01-21,50.8,51.11,50.8,51.07,181510,51.041000000000004,51.1005,51.4616,51.084609619755966,51.20943139780861,48.214285714285744,-0.12482177805264172,-0.16065034396782693,0.03582856591518521,51.37113084198139,51.1005,50.8298691580186,0.0,51.07,0.0,51.11,0.0,51.02,0.0007846214201649993,0.09421606374064552,226335.0,0.8019528574900038,0.00790901566475588,0.0,0,51.07
2020-01-22,51.07,51.07,50.76,51.07,371780,51.068,51.0875,51.4216,51.08236198594736,51.19910314611908,48.214285714285744,-0.11674116017172054,-0.15186850720860565,0.03512734703688511,51.33576768236168,51.0875,50.83923231763832,0.0,51.07,0.0,51.07,-0.0007826257092545807,51.07,0.00098000784006258,0.04131182236089415,216622.0,1.716261506218205,0.005160335371108271,0.0,0,51.07
2020-01-30,50.71,51.07,49.82,51.07,682720,51.077,51.0745,51.385200000000005,51.080460141955456,51.18953995011026,40.81632653061223,-0.109079808154803,-0.14331076739784512,0.03423095924304212,51.29497556255556,51.0745,50.854024437444444,0.0,51.07,0.0,51.07,0.0,51.11,0.0007832386919912615,0.027507574716374137,257507.0,2.6512677325276592,-0.03215460028644623,0.0,0,51.02
2020-01-31,51.07,51.07,50.49,51.02,831740,51.077,51.061,51.345200000000006,51.07115858165462,51.176981435287274,59.701492537313705,-0.10582285363265242,-0.1358131846448066,0.029990331012154176,51.25769907553359,51.061,50.86430092446641,-0.000979048364989188,51.07,0.0,51.07,0.0,51.11,0.0,0.027507574716374137,324769.0,2.5610202944246527,-0.02392713478813646,0.00047473134521602844,0,51.02
2020-02-03,50.58,51.02,49.91,51.02,760420,51.072,51.052,51.302400000000006,51.06328803063084,51.165353180821555,53.44827586206952,-0.10206515019071816,-0.1290635777539889,0.026998427563270755,51.23810693021395,51.052,50.86589306978605,0.0,51.02,-0.000979048364989188,51.07,0.0,51.11,0.0,0.03293090409562559,386143.0,1.9692704516202546,-0.009053831863509276,0.0,0,51.02
2020-02-04,50.49,51.02,49.69,51.02,1485500,51.063,51.0475,51.273,51.05662833361071,51.154586278538474,77.50000000000084,-0.09795794492776366,-0.12284245118874386,0.024884506260980196,51.23204781152,51.0475,50.86295218848,0.0,51.02,0.0,51.07,0.0,51.07,-0.0007826257092545807,0.033681514879180134,524578.0,2.8318000373633665,0.0010235524813066998,0.0,0,50.89
2020-02-05,51.02,51.02,50.22,50.89,468420,51.041,51.036500000000004,51.24979999999999,51.03099320536291,51.13498729494303,37.14285714285772,-0.10399408958011946,-0.11907277886701899,0.015078689286899524,51.231303544763975,51.036500000000004,50.84169645523603,-0.00254802038416313,51.02,0.0,51.02,-0.000979048364989188,51.07,0.0,0.060635523142639466,550860.0,0.8503430998801873,-0.00342270393610955,0.002372530411526075,0,50.85
2020-02-06,50.89,50.98,50.13,50.85,676290,51.015,51.0235,51.2356,51.00314809684554,51.11387712494725,25.714285714285083,-0.1107290281017086,-0.11740402871395691,0.006675000612248322,51.23187971413536,51.0235,50.81512028586464,-0.0007860090391039742,50.89,-0.00254802038416313,51.02,0.0,51.07,0.0,0.0803118920217827,599815.0,1.1274976451072414,0.013640634618915515,0.0,0,50.85
2020-02-07,50.67,50.85,49.78,50.85,1295520,50.993,51.0035,51.227599999999995,50.979586851177,51.094330671247455,13.333333333333172,-0.11474382007045847,-0.11687198698525723,0.0021281669147987653,51.19656666424343,51.0035,50.81043333575658,0.0,50.85,-0.0007860090391039742,51.02,0.0,51.07,0.0,0.09274217547174933,712457.0,1.818383425245313,0.002354721162656892,0.0,0,50.53
2020-02-10,50.22,50.71,50.22,50.53,192700,50.939,50.9855,51.2052,50.91041964330361,51.0525283993032,0.0,-0.14210875599958683,-0.12191934078812316,-0.020189415211463668,51.26904708139637,50.9855,50.70195291860363,-0.006293018682399176,50.85,0.0,50.89,-0.00254802038416313,51.07,0.0,0.16888194430205064,694660.0,0.2774018944519621,-0.010651076268934356,0.0,0,50.4
2020-02-11,50.45,50.76,50.22,50.4,290630,50.872,50.9565,51.181999999999995,50.83189354433382,51.00419296231778,0.0,-0.17229941798395743,-0.13199535622729003,-0.0403040617566674,51.34253381362665,50.9565,50.570466186373345,-0.0025727290718385865,50.53,-0.006293018682399176,50.85,-0.0007860090391039742,51.02,-0.000979048364989188,0.23217809256432298,705572.0,0.4119069350824579,0.004233236276900865,0.0,0,49.78
2020-02-12,50.4,50.4,49.78,49.78,452790,50.743,50.9055,51.1536,50.67006376828247,50.91351200214609,0.0,-0.24344823386362435,-0.1542859317545569,-0.08916230210906745,51.556894455642734,50.9055,50.25410554435727,-0.012301587301587258,50.4,-0.0025727290718385865,50.85,0.0,51.02,0.0,0.40442139738993504,713673.0,0.6344502314085022,0.003220387944408154,0.0,1,49.96
2020-02-13,49.56,50.09,49.51,49.96,285340,50.632000000000005,50.8545,51.12519999999999,50.560823188546706,50.8428814834686,12.24489795918366,-0.28205829492189594,-0.17984040438802473,-0.1022178905338712,51.62935414586773,50.8545,50.07964585413227,0.0036159100040176195,49.78,-0.012301587301587258,50.53,-0.006293018682399176,51.02,0.0,0.4539897208823631,673935.0,0.42339394748751735,0.0005972186673492974,0.0,0,48.89
2020-02-14,49.91,50.05,48.89,48.89,252390,50.419000000000004,50.748,51.074600000000004,50.30377346723183,50.698223595804265,7.086614173228327,-0.3944501285724371,-0.22276234922490723,-0.17168777934752988,51.91391233759119,50.748,49.5820876624088,-0.02141713370696563,49.96,0.0036159100040176195,50.4,-0.0025727290718385865,50.89,-0.00254802038416313,0.6900314002518639,616000.0,0.40972402597402596,-0.0008420020463846267,0.0,0,48.0
2020-02-17,48.89,48.89,46.67,48.0,742220,50.117000000000004,50.5945,51.00620000000001,49.949346779965396,50.49835518130025,5.24781341107871,-0.5490084013348522,-0.28801155964689623,-0.26099684168795595,52.276196824795214,50.5945,48.91280317520478,-0.018204131724279038,48.89,-0.02141713370696563,49.78,-0.012301587301587258,50.85,-0.0007860090391039742,0.9923938510268085,614180.0,1.208473086065974,-0.002858819137020685,0.0,0,46.45
2020-02-18,47.56,47.56,46.22,46.45,791870,49.660000000000004,50.3615,50.913000000000004,49.41098573689379,50.19847701972245,3.614457831325282,-0.7874912828286611,-0.38790750428324927,-0.3995837785454118,52.843386167286575,50.3615,47.879613832713424,-0.03229166666666661,48.0,-0.018204131724279038,49.96,0.0036159100040176195,50.85,0.0,1.468430757267508,544817.0,1.4534605197708588,-0.007317308000898692,0.0,1,46.67
2020-02-19,46.0,47.56,46.0,46.67,832580,49.23800000000001,50.1395,50.8242,48.989295623525514,49.937108351594865,7.692307692307665,-0.9478127280693514,-0.49988854904046975,-0.4479241790288816,53.089614895175586,50.1395,47.18938510482441,0.004736275565123682,46.45,-0.03229166666666661,48.89,-0.02141713370696563,50.53,-0.006293018682399176,1.6684310660685477,581233.0,1.4324375938737133,0.0008944640220707178,-8.606963033097603e-05,1,48.89
2020-02-20,46.67,48.89,46.67,48.89,353570,49.042,50.028499999999994,50.7754,48.974019373752355,49.859544769995246,35.54952510176389,-0.8855253962428904,-0.5770159184809539,-0.3085094777619365,52.991892614803795,50.028499999999994,47.06510738519619,0.04756803085493888,46.67,0.004736275565123682,48.0,-0.018204131724279038,50.4,-0.0025727290718385865,1.5702568791975116,548961.0,0.6440712546064292,0.010088720444463517,0.0,0,48.85
2020-02-21,48.27,48.89,47.91,48.85,309060,48.842,49.917500000000004,50.72299999999999,48.95493947009815,49.784763675921525,35.357624831309025,-0.8298242058233782,-0.6275775759494389,-0.20224662987393938,52.88294218767136,49.917500000000004,46.95205781232865,-0.0008181632235630953,48.89,0.04756803085493888,46.45,-0.03229166666666661,49.78,-0.012301587301587258,1.4360191889774956,450315.0,0.6863195762965923,-0.005372389754085161,0.0,0,47.69
2020-02-24,47.6,48.0,46.89,47.69,1428650,48.55800000000001,49.7485,50.6466,48.760333397775355,49.629595996223635,30.571761960326683,-0.8692625984482802,-0.6759145804492072,-0.19334801799907309,52.82072035256862,49.7485,46.67627964743138,-0.023746161719549685,48.85,-0.0008181632235630953,46.67,0.004736275565123682,49.96,0.0036159100040176195,1.342905639110981,573910.0,2.489327594919064,-0.03188331243502773,0.0,0,47.56
2020-02-25,47.42,47.69,47.07,47.56,543820,48.274,49.573,50.56759999999999,48.57566672119453,49.47629258909596,30.57176196032671,-0.9006258679014323,-0.7208568379396522,-0.17976902996178012,52.72728597308488,49.573,46.41871402691512,-0.002725938351855639,47.69,-0.023746161719549685,48.89,0.04756803085493888,48.89,-0.02141713370696563,1.203099700311429,599229.0,0.9075328463742576,0.00700732835920026,0.0,0,47.07
2020-02-26,46.22,47.38,46.22,47.07,625410,48.003,49.373000000000005,50.4788,48.3440256871646,49.29804869360737,29.046563192904642,-0.9540230064427675,-0.7674900716402753,-0.18653293480249222,52.63310074109763,49.373000000000005,46.11289925890238,-0.010302775441547563,47.56,-0.002725938351855639,48.85,-0.0008181632235630953,48.0,-0.018204131724279038,1.129120109741575,616491.0,1.0144673644870728,-0.01506040652104601,0.0,0,46.93
2020-02-27,47.02,47.11,46.27,46.93,740420,47.7,49.166,50.38719999999999,48.126483273754666,49.122637679266084,28.602620087336234,-0.9961544055114189,-0.8132229384145041,-0.18293146709691477,52.49737177371977,49.166,45.83462822628022,-0.0029742936052687963,47.07,-0.010302775441547563,47.69,-0.023746161719549685,46.45,-0.03229166666666661,0.9355687515567948,661999.0,1.1184609040194924,0.002756788731765658,0.00021519259737456942,0,46.85
2020-02-28,46.67,46.85,45.78,46.85,870840,47.495999999999995,48.957499999999996,50.293,47.93010123163856,48.954294147468595,29.372197309417032,-1.0241929158300351,-0.8554169338976103,-0.16877598193242482,52.322107586409786,48.957499999999996,45.59289241359021,-0.0017046665246110981,46.93,-0.0029742936052687963,47.56,-0.002725938351855639,46.67,0.004736275565123682,0.8671690851402062,723844.0,1.2030769060736843,-0.01808690619295672,0.0,0,46.85
2020-03-02,46.22,46.85,45.65,46.85,742130,47.381,48.749,50.1988,47.76393181138647,48.79842050691536,29.806598407281,-1.0344886955288928,-0.8912312862238668,-0.14325740930502595,52.09220929961805,48.749,45.40579070038196,0.0,46.85,-0.0017046665246110981,47.07,-0.010302775441547563,48.89,0.04756803085493888,0.8691560402038977,723835.0,1.0252750972251963,0.0025391355603667787,-0.000258175559380347,1,46.89
