time,open,close,low,high,volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26,MACD_signal_9,MACD_histogram,BB_upper_20,BB_middle_20,BB_lower_20,close_lag_1,close_lag_3,close_lag_7,volatility_10,target_classification,target_regression
2020-03-19 07:00:00,6.72,6.69,6.63,6.86,2633250,7.127000000000001,7.547499999999999,8.0402,7.185724390097998,7.520942331475418,29.73977695167288,-0.33521794137741967,-0.25602642174438817,-0.0791915196330315,8.61157112939929,7.547499999999999,6.48342887060071,6.92,7.01,7.5,0.4039265609818936,0,6.68
2020-03-20 07:00:00,6.71,6.68,6.64,6.87,1980340,6.998,7.456999999999999,7.989,7.1079051137920635,7.457395778609132,26.923076923076934,-0.34949066481706836,-0.27471948379596167,-0.07477118102110669,8.491013132360884,7.456999999999999,6.422986867639114,6.69,6.99,7.12,0.29649058444857695,0,6.21
2020-03-23 07:00:00,6.43,6.21,6.21,6.68,4628880,6.877,7.3725000000000005,7.934,6.969742544057688,7.363275620276408,23.102310231023125,-0.3935330762187199,-0.2984824193403209,-0.09505065687839903,8.52366188445004,7.3725000000000005,6.221338115549962,6.68,6.92,6.62,0.3476284734534084,0,5.94
2020-03-24 07:00:00,5.93,5.94,5.89,6.16,5979090,6.720999999999999,7.2765,7.8751999999999995,6.811297983815984,7.25603265808582,20.731707317073187,-0.44473467426983593,-0.32773308407569585,-0.11700159019414008,8.56814562518234,7.2765,5.984854374817663,6.21,6.69,7.03,0.38500937939511665,1,6.2
2020-03-25 07:00:00,6.22,6.2,6.13,6.25,2458770,6.6290000000000004,7.184,7.829400000000001,6.71724077288474,7.176562582423388,22.388059701492523,-0.45932180953864865,-0.35405098302289606,-0.10527082651575259,8.507001372478122,7.184,5.860998627521878,5.94,6.68,7.01,0.3889715785104087,0,6.0
2020-03-26 07:00:00,6.16,6.0,6.0,6.16,2129230,6.567,7.085499999999999,7.7774,6.60688475339286,7.088126514261067,21.61383285302594,-0.48124176086820736,-0.3794892575618139,-0.10175250330639346,8.454640721689893,7.085499999999999,5.7163592783101045,6.2,6.21,6.99,0.4370113143716976,1,6.02
2020-03-27 07:00:00,5.96,6.02,5.96,6.31,3296170,6.465999999999999,6.9975000000000005,7.7226,6.516586977939026,7.00792849184441,26.19047619047619,-0.4913415139053843,-0.401859792528636,-0.08948172137674826,8.40441338154058,6.9975000000000005,5.59058661845942,6.0,5.94,6.92,0.4348230802419536,0,5.64
2020-03-30 07:00:00,5.68,5.64,5.6,5.92,6321180,6.329,6.885499999999999,7.6617999999999995,6.381717568136941,6.905323980171869,21.29629629629629,-0.523606412034928,-0.4262091893114218,-0.09739722272350615,8.351988466048297,6.885499999999999,5.419011533951699,6.02,6.2,6.69,0.4595033550838579,0,5.6
2020-03-31 07:00:00,5.64,5.6,5.41,5.78,3326670,6.1899999999999995,6.7735,7.601800000000001,6.261445875710718,6.807506536633649,23.793103448275843,-0.5460606609229304,-0.45017954103131275,-0.09588111989161763,8.274787517608265,6.7735,5.272212482391736,5.64,6.0,6.68,0.4474123129483204,1,5.81
2020-04-01 07:00:00,5.53,5.81,5.53,5.81,2786690,6.079,6.671000000000001,7.546,6.191989023020499,6.732820568800244,34.48275862068965,-0.5408315457797448,-0.468309976712014,-0.07252156906773077,8.139517333195226,6.671000000000001,5.2024826668047774,5.6,6.02,6.21,0.3785777477759339,1,6.08
2020-04-03 07:00:00,5.98,6.08,5.92,6.11,4559830,6.018,6.572500000000001,7.494,6.174759178295447,6.6839811587356355,30.769230769230774,-0.5092219804401887,-0.4764923899971608,-0.03272959044302792,7.909989793369842,6.572500000000001,5.235010206630159,5.81,5.64,5.94,0.312580656257955,1,6.43
2020-04-06 07:00:00,6.16,6.43,6.16,6.47,5085950,5.993,6.4955,7.452000000000001,6.214028470900094,6.664994116177007,39.642857142857146,-0.45096564527691285,-0.471387034793964,0.020421389517051136,7.660416531909421,6.4955,5.330583468090579,6.08,5.6,6.2,0.2591889057982149,0,6.31
2020-04-07 07:00:00,6.47,6.31,6.2,6.47,3974120,6.003,6.44,7.409199999999999,6.228793790453798,6.638473708669966,38.27586206896551,-0.40967991821616767,-0.45904559937396006,0.049365681157792385,7.52229775064569,6.44,5.357702249354311,6.43,5.81,6.0,0.2701871779176395,1,6.74
2020-04-08 07:00:00,6.24,6.74,6.12,6.74,9412400,6.083,6.401999999999999,7.372000000000001,6.307443013115492,6.646053599304918,47.239263803680984,-0.33861058618942597,-0.4349585778374676,0.09634799164804164,7.375492897279029,6.401999999999999,5.428507102720969,6.31,6.08,6.02,0.35468452335998374,1,6.88
2020-04-09 07:00:00,7.1,6.88,6.87,7.1,8939620,6.151,6.39,7.3344000000000005,6.395530706366631,6.663509676818292,52.9968454258675,-0.2679789704516615,-0.40156263539733356,0.13358366494567203,7.33162234020813,6.39,5.448377659791869,6.74,6.43,5.64,0.43556986937929876,0,6.73
2020-04-10 07:00:00,6.88,6.73,6.71,6.88,4340530,6.224,6.3955,7.2938,6.4469885108234966,6.66846821395908,50.75528700906345,-0.22147970313558307,-0.3655460308585922,0.14406632772300915,7.344038487968719,6.3955,5.446961512031281,6.88,6.31,5.6,0.4674564745038242,1,6.95
2020-04-13 07:00:00,6.71,6.95,6.71,7.1,9334920,6.316999999999999,6.3915,7.267,6.524376153649101,6.689453018494877,62.09150326797386,-0.16507686484577633,-0.3254521815489461,0.1603753167031698,7.329387323498423,6.3915,5.453612676501576,6.73,6.74,5.81,0.5126846550810208,1,7.14
2020-04-14 07:00:00,7.03,7.14,6.99,7.19,8810870,6.4670000000000005,6.398000000000001,7.252000000000001,6.619088819334269,6.723020299293912,70.13422818791946,-0.10393147995964291,-0.2811480269922792,0.17721654703263628,7.355531915092725,6.398000000000001,5.440468084907276,6.95,6.88,6.08,0.5120340700469838,1,7.15
2020-04-15 07:00:00,7.14,7.15,7.11,7.25,5992790,6.622,6.406000000000001,7.245,6.700768414582144,6.754818086075764,67.39926739926742,-0.05404967149361983,-0.23572834421468875,0.1816786727210689,7.386749444906445,6.406000000000001,5.425250555093556,7.14,6.73,6.43,0.4514372110887041,0,7.07
2020-04-16 07:00:00,7.14,7.07,7.0,7.14,6101990,6.748,6.413500000000001,7.2352,6.757573834142516,6.778280809421613,70.49808429118775,-0.02070697527909715,-0.19272406158210253,0.17201708630300538,7.41291614534639,6.413500000000001,5.414083854653612,7.15,6.95,6.31,0.3676894825196227,1,7.14
